holiday_id,destination,description,price
938,Cordoba,Visit the Mezquita-Cathedral and explore the Alcázar de los Reyes Cristianos.,375
303,Girona,Wander through the Jewish Quarter and see the Girona Cathedral.,450
871,Tarragona,Explore the Roman ruins and relax on the beaches.,425
528,Lleida,Visit the Seu Vella cathedral and explore the old town.,375
285,Palma de Mallorca,See the Cathedral of Palma and relax on the beaches.,450
643,Ibiza,Enjoy the nightlife and relax on the beaches.,425
456,Menorca,Explore the prehistoric monuments and relax on the beaches.,375
194,Formentera,Enjoy the laid-back atmosphere and relax on the beaches.,450
707,Valencia,See the City of Arts and Sciences and the Oceanogràfic aquarium.,425
961,Alicante,Relax on the beaches and visit the Santa Bárbara Castle.,375
334,Murcia,Explore the Cathedral of Murcia and the Salzillo Museum.,450
857,Cartagena,Visit the Roman Theatre and the Punic Walls.,425
544,Almeria,See the Alcazaba and explore the Tabernas Desert.,375
229,Granada,Visit the Alhambra Palace and the Generalife gardens.,450
680,Palermo,Explore the vibrant markets and the Palermo Cathedral.,390
498,Siena,Wander through the Piazza del Campo and see the Palio horse race.,410
109,Lucca,Cycle the historic walls and visit the Guinigi Tower.,375
766,Verona,See Juliet's balcony and explore the Arena di Verona.,440
901,Cinque Terre,Hike between the five colorful villages and enjoy the coastal views.,460
385,Lake Como,Relax by the lake and visit the Villa del Balbianello.,525
813,Lugano,Explore the Swiss-Mediterranean city and enjoy the lake views.,425
570,Interlaken,Adventure in the Bernese Oberland and see the Jungfraujoch.,490
242,Zermatt,Hike in the Matterhorn region and enjoy the mountain views.,560
605,Alesund,Explore the Art Nouveau architecture and see the Atlantic Sea-Park.,400
428,Tromsø,See the Northern Lights and visit the Arctic Cathedral.,460
133,Trondheim,Explore the Nidaros Cathedral and the Archbishop's Palace Museum.,425
791,Berat,Wander through the historic city and see the Berat Castle.,350
917,Gjirokastër,Explore the UNESCO-listed old town and visit the Gjirokastër Fortress.,390
321,Paphos,Relax on the beaches and visit the Tombs of the Kings.,410
844,Nicosia,Explore the divided city and see the Selimiye Mosque.,440
531,Cagliari,Visit the Bastione di Saint Remy and explore the old town.,375
208,Alghero,Relax on the beaches and explore the Neptune's Grotto.,400
667,Ajaccio,Visit the birthplace of Napoleon and explore the citadel.,425
439,Bonifacio,See the cliffs of Bonifacio and explore the old town.,450
176,Porto-Vecchio,Relax on the beaches and explore the Bavella Mountains.,475
720,Calvi,Visit the Citadel and enjoy the beaches.,440
